"";"main_id";"language";"template";"score_func";"subscales";"layout";"short_version";"audio_file"
"1";"TISM_0001";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
"2";"TISM_0002";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
"3";"TISM_0003";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"4";"TISM_0004";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"5";"TISM_0005";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
"6";"TISM_0006";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"7";"TISM_0007";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"8";"TISM_0008";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"9";"TISM_0009";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
"10";"TISM_0010";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
"11";"TISM_0011";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"12";"TISM_0012";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"13";"TISM_0013";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
"14";"TISM_0014";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
"15";"TISM_0015";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"16";"TISM_0016";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"17";"TISM_0017";"en";"6-option multiple choice";"function(x) x";"Individual";"vertical";NA;NA
"18";"TISM_0018";"en";"6-option multiple choice";"function(x) x";"Social";"vertical";NA;NA
