key;de;de_f;en;it;es;lv
TDEG_0000_PROMPT;Demographischer Kurzfragebogen;Demographischer Kurzfragebogen;Short Demographic Questionnaire;Breve Questionario Demografico;Breve Cuestionario Demográfico;Īsā demogrāfiskā aptauja
TDEG_0001_CHOICE1;Ja;Ja;Yes;Sì;Sí;Jā
TDEG_0001_CHOICE2;Nein;Nein;No;No;No;Nē
TDEG_0001_PROMPT;Wir möchten gerne möglichst präzise Informationen von dir bekommen. Wirst du bei dem nachfolgenden Test und den Fragen dein Bestes geben?;Wir möchten gerne möglichst präzise Informationen von Ihnen bekommen. Werden Sie bei dem nachfolgenden Test und den Fragen Ihr Bestes geben?;We are interested in getting the most accurate information possible from you today. Are you able to give your best shot with the following tests and questions today?;Siamo interessati a raccogliere quante più possibili informazioni su di te oggi. Riesci a dare il meglio di te oggi con i seguenti test e domande?;Estamos interesados en recopilar cuanta más información posible sobre tí hoy. ¿Puedes dar lo mejor de tí hoy con las siguientes pruebas y preguntas?;Mēs vēlētos, lai Tu sniegtu maksimāli precīzu informāciju par sevi. Vai Tu šodien esi gatavs sniegt vislabāko veikumu, pildot testus un atbildot uz jautājumiem?
TDEG_0002_CHOICE1;Ja;Ja;Yes;Sì;Sí;Jā
TDEG_0002_CHOICE2;Nein;Nein;No;No;No;Nē
TDEG_0002_PROMPT;Hast du Probleme oder Schwierigkeiten mit dem Hören (z. B. krankheitsbedingt)?;Haben Sie Probleme oder Schwierigkeiten mit dem Hören (z. B. krankheitsbedingt)?;Do you have any kind of hearing impairment? (I.e., do you have any problems with your hearing?);Hai qualche tipo di deficit uditivo? (Ovvero, hai qualche problema con il tuo udito?);¿Tienes algún tipo de discapacidad auditiva? (Es decir, tienes algún problema con tu oído?);Vai Tev ir kādi dzirdes traucējumi? (piemēram, Tu slikti dzirdi u.tml.)
TDEG_0003_PROMPT;Wenn ja, welche?;Wenn ja, welche?;If so, please tell us what kind of hearing impairment you have.;Se sì, per favore indicaci che tipo di deficit uditivo hai.;Si es así, por favor dinos qué tipo de discapacidad auditiva tienes.;Ja tā, tad, lūdzu, norādi, kādi dzirdes traucējumi Tev ir
TDEG_0004_CHOICE1;weiblich;weiblich;female;Femmina;Femenino;sieviete
TDEG_0004_CHOICE2;männlich;männlich;male;Maschio;Masculino ;vīrietis
