main_id;language;template;score_func;subscales;layout 
TBFC_0002;de;5-option multiple choice;function(x) 6-x;Extraversion;
TBFC_0002;en;5-option multiple choice;function(x) 6-x;Extraversion;
TBFC_0003;de;5-option multiple choice;function(x) x+0;Agreeableness;
TBFC_0003;en;5-option multiple choice;function(x) x+0;Agreeableness;
TBFC_0004;de;5-option multiple choice;function(x) 6-x;Conscientiousness;
TBFC_0004;en;5-option multiple choice;function(x) 6-x;Conscientiousness;
TBFC_0005;de;5-option multiple choice;function(x) 6-x;Neuroticism;
TBFC_0005;en;5-option multiple choice;function(x) 6-x;Neuroticism;
TBFC_0006;de;5-option multiple choice;function(x) 6-x;Openness;
TBFC_0006;en;5-option multiple choice;function(x) 6-x;Openness;
TBFC_0007;de;5-option multiple choice;function(x) x+0;Extraversion;
TBFC_0007;en;5-option multiple choice;function(x) x+0;Extraversion;
TBFC_0008;de;5-option multiple choice;function(x) 6-x;Agreeableness;
TBFC_0008;en;5-option multiple choice;function(x) 6-x;Agreeableness;
TBFC_0009;de;5-option multiple choice;function(x) x+0;Conscientiousness;
TBFC_0009;en;5-option multiple choice;function(x) x+0;Conscientiousness;
TBFC_0010;de;5-option multiple choice;function(x) x+0;Neuroticism;
TBFC_0010;en;5-option multiple choice;function(x) x+0;Neuroticism;
TBFC_0011;de;5-option multiple choice;function(x) x+0;Openness;
TBFC_0011;en;5-option multiple choice;function(x) x+0;Openness;
