main_id;language;template;score_func;subscales;layout
TCMI_0001;en;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0001;de;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0002;en;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0002;de;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0003;en;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0003;de;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0004;en;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0004;de;5-point Likert scale;"function(x) x;";Musical Drive;
TCMI_0005;en;5-point Likert scale;"function(x) x;";Music Making;
TCMI_0005;de;5-point Likert scale;"function(x) x;";Music Making;
TCMI_0006;en;5-point Likert scale;"function(x) x;";Music Making;
TCMI_0006;de;5-point Likert scale;"function(x) x;";Music Making;
TCMI_0007;en;5-point Likert scale;"function(x) x;";Music Making;
TCMI_0007;de;5-point Likert scale;"function(x) x;";Music Making;
TCMI_0008;en;5-point Likert scale;"function(x) x;";Music Making;
TCMI_0008;de;5-point Likert scale;"function(x) x;";Music Making;
