main_id;language;template;score_func;subscales;layout
TCMS_0002;de;5-option multiple choice;function(x) x;Perception;
TCMS_0002;en;5-option multiple choice;function(x) x;Perception;
TCMS_0003;de;5-option multiple choice;function(x) x;Enthusiasm & Motivation;
TCMS_0003;en;5-option multiple choice;function(x) x;Enthusiasm & Motivation;
TCMS_0004;de;5-option multiple choice;function(x) x;Perception;
TCMS_0004;en;5-option multiple choice;function(x) x;Perception;
TCMS_0005;de;5-option multiple choice;function(x) x;Perception;
TCMS_0005;en;5-option multiple choice;function(x) x;Perception;
TCMS_0006;de;5-option multiple choice;function(x) 6-x;Production;
TCMS_0006;en;5-option multiple choice;function(x) 6-x;Production;
TCMS_0007;de;5-option multiple choice;function(x) x;Enthusiasm & Motivation;
TCMS_0007;en;5-option multiple choice;function(x) x;Enthusiasm & Motivation;
TCMS_0008;de;5-option multiple choice;function(x) 6-x;Production;
TCMS_0008;en;5-option multiple choice;function(x) 6-x;Production;
TCMS_0009;de;5-option multiple choice;function(x) x;Enthusiasm & Motivation;
TCMS_0009;en;5-option multiple choice;function(x) x;Enthusiasm & Motivation;
TCMS_0010;de;5-option multiple choice;function(x) 6-x;Production;
TCMS_0010;en;5-option multiple choice;function(x) 6-x;Production;
TCMS_0011;en;10-point multiple choice;"function(x) x;";Instrumental Lessons;
TCMS_0011;de;10-point multiple choice;"function(x) x;";Instrumental Lessons;
TCMS_0012;en;21-point multiple choice;"function(x) x;";Instrument;
TCMS_0012;de;21-point multiple choice;"function(x) x;";Instrument;
TCMS_0013;en;5-point multiple choice;"function(x) x;";Number Instruments;
TCMS_0013;de;5-point multiple choice;"function(x) x;";Number Instruments;
TCMS_0014;en;5-point multiple choice;"function(x) x;";Practice Hours;
TCMS_0014;de;5-point multiple choice;"function(x) x;";Practice Hours;
TCMS_0015;en;11-point multiple choice;"function(x) x;";Music Group Duration;
TCMS_0015;de;11-point multiple choice;"function(x) x;";Music Group Duration;
