main_id;language;template;score_func;subscales;layout 
TMHI_0002;de;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0002;en;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0003;de;7-option multiple choice;function(x) 8-x;Parental initiation of singing;
TMHI_0003;en;7-option multiple choice;function(x) 8-x;Parental initiation of singing;
TMHI_0004;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHI_0004;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHI_0005;de;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0005;en;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0006;de;7-option multiple choice;function(x) x;Parental initiation of music-making;
TMHI_0006;en;7-option multiple choice;function(x) x;Parental initiation of music-making;
TMHI_0007;de;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0007;en;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0008;de;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0008;en;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0009;de;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0009;en;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0010;de;7-option multiple choice;function(x) x;Child's active engagement;
TMHI_0010;en;7-option multiple choice;function(x) x;Child's active engagement;
TMHI_0011;de;7-option multiple choice;function(x) 8-x;Parental initiation of music-making;
TMHI_0011;en;7-option multiple choice;function(x) 8-x;Parental initiation of music-making;
TMHI_0012;de;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0012;en;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHI_0013;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHI_0013;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHI_0014;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHI_0014;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHI_0015;de;7-option multiple choice;function(x) x;Parental initiation of music-making;
TMHI_0015;en;7-option multiple choice;function(x) x;Parental initiation of music-making;
TMHI_0016;de;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0016;en;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0017;de;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0017;en;7-option multiple choice;function(x) x;Parental initiation of singing;
TMHI_0018;de;7-option multiple choice;function(x) x;Child's active engagement;
TMHI_0018;en;7-option multiple choice;function(x) x;Child's active engagement;
TMHI_0019;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHI_0019;en;7-option multiple choice;function(x) x;Parental beliefs;
