main_id;language;template;score_func;subscales;layout 
TMHP_0002;de;7-option multiple choice;function(x) x;Parent initiation of musical behavior;
TMHP_0002;en;7-option multiple choice;function(x) x;Parent initiation of musical behavior;
TMHP_0003;de;7-option multiple choice;function(x) x;Child's active engagement;
TMHP_0003;en;7-option multiple choice;function(x) x;Child's active engagement;
TMHP_0004;de;7-option multiple choice;function(x) x;Breadth of musical exposure;
TMHP_0004;en;7-option multiple choice;function(x) x;Breadth of musical exposure;
TMHP_0005;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0005;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0006;de;7-option multiple choice;function(x) x;Child's active engagement;
TMHP_0006;en;7-option multiple choice;function(x) x;Child's active engagement;
TMHP_0007;de;7-option multiple choice;function(x) 8-x;Breadth of musical exposure;
TMHP_0007;en;7-option multiple choice;function(x) 8-x;Breadth of musical exposure;
TMHP_0008;de;7-option multiple choice;function(x) 8-x;Breadth of musical exposure;
TMHP_0008;en;7-option multiple choice;function(x) 8-x;Breadth of musical exposure;
TMHP_0009;de;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHP_0009;en;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHP_0010;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0010;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0011;de;7-option multiple choice;function(x) 8-x;Parent initiation of musical behavior;
TMHP_0011;en;7-option multiple choice;function(x) 8-x;Parent initiation of musical behavior;
TMHP_0012;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0012;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0013;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0013;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0014;de;7-option multiple choice;function(x) x;Parent initiation of musical behavior;
TMHP_0014;en;7-option multiple choice;function(x) x;Parent initiation of musical behavior;
TMHP_0015;de;7-option multiple choice;function(x) x;Parent initiation of musical behavior;
TMHP_0015;en;7-option multiple choice;function(x) x;Parent initiation of musical behavior;
TMHP_0016;de;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0016;en;7-option multiple choice;function(x) x;Parental beliefs;
TMHP_0017;de;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHP_0017;en;7-option multiple choice;function(x) 8-x;Child's active engagement;
TMHP_0018;de;7-option multiple choice;function(x) x;Breadth of musical exposure;
TMHP_0018;en;7-option multiple choice;function(x) x;Breadth of musical exposure;
