"main_id";"language";"template";"score_func";"subscales";"layout"
"TPAS_0002";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0002";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0003";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0003";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0004";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0004";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0005";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0005";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0006";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0006";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAS_0001";"en";"";"";"";""
"TPAS_0001";"de";"";"";"";""
"TPAS_0000";"en";"";"";"";""
"TPAS_0000";"de";"";"";"";""
